doc_type,reference_number,reference_year,year_published,month_published,language,title_from_filename,title_from_ocr,source_file,drive_id,source_url
other,,,2021,10,fr,CCAO6 2021,‏الوحدة المركزية للشؤون الإداربة والمالية والوسائل العامة,CCAO6-2021.pdf,1nBcy6AGe5BiWE7Zu_eXqrljQdqZnJIu4,https://drive.google.com/uc?export=download&id=1nBcy6AGe5BiWE7Zu_eXqrljQdqZnJIu4
other,,,2021,10,fr,CCC14 2021,الوحدة المركزية للشؤون الإدارية والمالية والوسائل العامة,CCC14-2021.pdf,1G3yJx7hmFsvWW9K7YUq-cbFkcAy2FAw9,https://drive.google.com/uc?export=download&id=1G3yJx7hmFsvWW9K7YUq-cbFkcAy2FAw9
candidate_list,,,2021,10,mixed,القائمات المقبولة أوليا السبيخة,5 3-5 القائمات المترشحة المقبولة أوليا,القائمات-المقبولة-أوليا-السبيخة.pdf,1trFzy9Pmy8-67nKIDCisLwtKwn6B8e9U,https://drive.google.com/uc?export=download&id=1trFzy9Pmy8-67nKIDCisLwtKwn6B8e9U
candidate_list,,,2021,10,mixed,القائمات المقبولة أوليا حمام الأغزاز,- القائمات المترشحة المقبولة أوليا بلدياض»,القائمات-المقبولة-أوليا-حمام-الأغزاز.pdf,1R5Sdv0XTUTlSAZvzCXb7qFAkLjP71-4o,https://drive.google.com/uc?export=download&id=1R5Sdv0XTUTlSAZvzCXb7qFAkLjP71-4o
campaign_finance,,,2022,02,mixed,ملحق دليل تمويل الحملة الشيحية لسنة 2022,,ملحق-دليل-تمويل-الحملة-الشيحيّة-لسنة-2022.pdf,1EsncvkiHn0Tu2wKRx0FaVnNfS1B1mVcw,https://drive.google.com/uc?export=download&id=1EsncvkiHn0Tu2wKRx0FaVnNfS1B1mVcw
minutes,,,2022,05,mixed,محضر جلسة 13 ماي 2022,انعقد. يوم الجمعة 13 ماي 2022 ابتداء من الساعة العاشرة و25 دقيقة صباحا. بقاعة الاجتماعات ‎EL‏,محضر-جلسة-13-ماي-2022.pdf,1difzID3kADniSY460sK__h_q1sOMNE5i,https://drive.google.com/uc?export=download&id=1difzID3kADniSY460sK__h_q1sOMNE5i
minutes,,,2022,05,mixed,محضر جلسة 18 ماي 2022,انعقد. يوم الأربعاء 18 ماي 2022 ابتداء من الساعة العاشرة صباحاء بقاعة الاجتماعات ‎JA‏,محضر-جلسة-18-ماي-2022.pdf,1vceC_JVGheQOdYZ7Qv9VvbDII_h-AwLs,https://drive.google.com/uc?export=download&id=1vceC_JVGheQOdYZ7Qv9VvbDII_h-AwLs
minutes,,,2022,05,mixed,محضر جلسة 20 ماي 2022,انعقد. يوم الجمعة 20 ماي 2022 ابتداء من الساعة العاشرة صباحاء بقاعة الاجتماعات ‎all‏,محضر-جلسة-20-ماي-2022.pdf,1v-IbNbGnphcp6ZWVyZ_FRQlg6wH7a4xd,https://drive.google.com/uc?export=download&id=1v-IbNbGnphcp6ZWVyZ_FRQlg6wH7a4xd
minutes,,,2022,05,mixed,محضر جلسة 25 ماي 2022,انعقد. يوم الأربعاء 25 ماي 2022 ابتداء من الساعة العاشرة صباحاء بقاعة الاجتماعات بالمقرٌ,محضر-جلسة-25-ماي-2022.pdf,1vIPaY2o2xAlsgtLeAsSx1jCMpRkYZY2l,https://drive.google.com/uc?export=download&id=1vIPaY2o2xAlsgtLeAsSx1jCMpRkYZY2l
campaign_finance,,,2022,05,mixed,ملحق دليل تمويل الحملة بني مطير,,ملحق-دليل-تمويل-الحملة-بني-مطير.pdf,1uykt6rfZSidIvTHKnys81f_qsTRKWSNj,https://drive.google.com/uc?export=download&id=1uykt6rfZSidIvTHKnys81f_qsTRKWSNj
polling_geography,,,2022,06,fr,Annuaire codes USSD centres de Vote en Tunisie,E.P.2 MARS 34 HRAIRIA 4 -HRAIRIA,Annuaire-codes-USSD-centres-de-Vote-en-Tunisie.pdf,1yNJPtG8Azr8hAjEff-OiVEC93NE0aHwz,https://drive.google.com/uc?export=download&id=1yNJPtG8Azr8hAjEff-OiVEC93NE0aHwz
decision,15,2022,2022,06,fr,Decision n° 2022 15,n° 2022-15 du 22 juin 2022 portant modification de la décision,Decision-n°-2022-15.pdf,1d6_K_LRSP9-vFBoMyPujRw2bNeCV3CSO,https://drive.google.com/uc?export=download&id=1d6_K_LRSP9-vFBoMyPujRw2bNeCV3CSO
decision,14,2022,2022,06,fr,Décision n° 2022 14,élections n° 2022-14 du 13 juin 2022 fixant les conditions et les,Décision-n°-2022-14.pdf,16839at5MdYmIIxnf3kZEjpmtdH_QaEQG,https://drive.google.com/uc?export=download&id=16839at5MdYmIIxnf3kZEjpmtdH_QaEQG
other,,,2022,06,mixed,الخصائص الفنية للرموز استفتاء 2022,لرموز الأطراف المعنيّة بالمشاركة في حملة الاستفتاء,الخصائص-الفنيّة-للرموز-استفتاء-2022.pdf,1yKZnn9-h0YBQMdpuA1kJAqY3DDrQoT02,https://drive.google.com/uc?export=download&id=1yKZnn9-h0YBQMdpuA1kJAqY3DDrQoT02
decision,,,2022,06,mixed,القرار عدد 14 2022,وعلى الأمر الرئاسي ‎sue‏ 117 لسنة 2021 المؤرّخ في 22 سبتمبر 2021 المتعلّق بتدابير استثنائيّة. وخاصّة,القرار-عدد-14-2022.pdf,1WSf5e7J80bQLKdahFOAzcIcTaqTCD9Id,https://drive.google.com/uc?export=download&id=1WSf5e7J80bQLKdahFOAzcIcTaqTCD9Id
polling_geography,,,2022,06,mixed,عناوين مقرات الادارات الفرعية 2022,عناوين مقرات الادارات الفرعية :,عناوين-مقرّات-الادارات-الفرعيّة-2022.pdf,1DNmIRxxyBVJm4sHTOyUH7wDPdnWbCwom,https://drive.google.com/uc?export=download&id=1DNmIRxxyBVJm4sHTOyUH7wDPdnWbCwom
list,,,2022,06,mixed,قائمة المزكين لتصريح مشاركة شخص طبيعي في حملة الاستفتاء,‏قائمة المزكين لتصريح مشاركة شخص طبيعي في حملة الاستفتاء‎,قائمة-المزكّين-لتصريح-مشاركة-شخص-طبيعي-في-حملة-الاستفتاء.pdf,14c5GZke1rMOyccrAEVa3A5etZw465ZxC,https://drive.google.com/uc?export=download&id=14c5GZke1rMOyccrAEVa3A5etZw465ZxC
minutes,,,2022,06,mixed,محضر جلسة 27 ماي 2022,"انعقد, يوم الجمعة 27 ماي 2022 ابتداء من الساعة العاشرة صباحاء بقاعة الاجتماعات بالمقرٌ",محضر-جلسة-27-ماي-2022.pdf,12Czd4TShGYwfUumgy3JDfBxRD1VG_lwx,https://drive.google.com/uc?export=download&id=12Czd4TShGYwfUumgy3JDfBxRD1VG_lwx
decision,,,2022,07,fr,Decision commune ISIE HAICA 2022,الانتخابات لإإنصال السمعي و البصري,Decision-commune-ISIE-HAICA-2022.pdf,1P82EGml4A6zn1aZSbokUhqG0-ZVka_4z,https://drive.google.com/uc?export=download&id=1P82EGml4A6zn1aZSbokUhqG0-ZVka_4z
minutes,,,2022,07,fr,PV Zaghouan Referendum 2022,27/07/2022 17:38 IMG-20220727-WA0007.jpg,PV-Zaghouan-Referendum-2022.pdf,1ayLVn4p4QNQ6-43JbT7yP5ZOlR-b_ITT,https://drive.google.com/uc?export=download&id=1ayLVn4p4QNQ6-43JbT7yP5ZOlR-b_ITT
list,,,2022,07,mixed,القائمة النهائية للأطراف المشاركة في حملة استفتاء 2022,القائمة النهائية للأطراف المشاركة في حملة استفتاء 2022,القائمة-النهائية-للأطراف-المشاركة-في-حملة-استفتاء-2022.pdf,1yTQl3dApT11pBs5EbKGtAI0vp485Rzwx,https://drive.google.com/uc?export=download&id=1yTQl3dApT11pBs5EbKGtAI0vp485Rzwx
decision,19,2022,2022,07,mixed,القرار عدد 19 لسنة 2022,‎des‏ الأمر الرئاسي ‎sue‏ 117 لسنة 2021 المؤرّخ في 22 سبتمبر 2021 المتعلّق بتدابير استثنائيّة» وخاصّة الفصلين,القرار-عدد-19-لسنة-2022.pdf,1U0AEz1CYhHk2PYrBasyn_AugrDcr5J5j,https://drive.google.com/uc?export=download&id=1U0AEz1CYhHk2PYrBasyn_AugrDcr5J5j
guide,,,2022,07,mixed,دليل الاقتراع والفرز استفتاء 2022,,دليل-الاقتراع-والفرز-استفتاء-2022.pdf,1eC5suR5ksVY1rczowAi3J6eHHEveISuU,https://drive.google.com/uc?export=download&id=1eC5suR5ksVY1rczowAi3J6eHHEveISuU
polling_geography,,,2022,07,mixed,قائمة في مراكز الاقتراع ذات التوقيت الاستثنائي جويلية 2022,قائمة مراكزالاقتراع ذات التوقيت الاستثناني - استفتاء 2022,قائمة-في-مراكز-الاقتراع-ذات-التوقيت-الاستثنائي-جويلية-2022.pdf,15dGyW6lN-6Bx3pXVkIl3QtXj0XY2YI7f,https://drive.google.com/uc?export=download&id=15dGyW6lN-6Bx3pXVkIl3QtXj0XY2YI7f
list,,,2022,07,mixed,قائمة مراكز اقتراع استفتاء 2022,3 ‏لحرائرية م إبتدائية 2مارس 34 الحرايرية 4 - الحرائرية‎ ee,قائمة-مراكز-اقتراع-استفتاء-2022.pdf,17gcSqiE_7VSVCwciUgUmuz5jVzIEnhvc,https://drive.google.com/uc?export=download&id=17gcSqiE_7VSVCwciUgUmuz5jVzIEnhvc
decision,17,2022,2022,07,mixed,قرار الهيئة العليا المستقلة للانتخابات عدد 17 لسنة 2022,بضبط قواعد تمويل حملة الاستفتاء وإجراءاته وطرقه,قرار-الهيئة-العليا-المستقلّة-للانتخابات-عدد-17-لسنة-2022.pdf,1JHtFiS1dX-VnmnDvp-mernpUa2Ptc3jZ,https://drive.google.com/uc?export=download&id=1JHtFiS1dX-VnmnDvp-mernpUa2Ptc3jZ
decision,21,2022,2022,07,mixed,قرار الهيئة عدد 21 لسنة 2022,بقواعد واجراءات احتساب النتائج والإعلان عنها.,قرار-الهيئة-عدد-21-لسنة-2022.pdf,1GSG8UqCk1f0c4D1zJZCLgtXBsmZF3D55,https://drive.google.com/uc?export=download&id=1GSG8UqCk1f0c4D1zJZCLgtXBsmZF3D55
minutes,,,2022,07,mixed,محضر جلسة 13 جوان 2022,انعقد. يوم الإثنين 13 جوان 2022 ابتداء من الساعة العاشرة صباحاء بقاعة الاجتماعات,محضر-جلسة-13-جوان-2022.pdf,1u3bNMUYtDO71LUls8ZsUAIfdX5uuWIdv,https://drive.google.com/uc?export=download&id=1u3bNMUYtDO71LUls8ZsUAIfdX5uuWIdv
minutes,,,2022,07,mixed,محضر جلسة 22 جوان 2022,انعقد. يوم الأربعاء 22 جوان 2022 ابتداء من الساعة العاشرة والنصف صباحاء بقاعة,محضر-جلسة-22-جوان-2022.pdf,1OldC_vsj2bv2BC2-tpClSuVr95nu6dQA,https://drive.google.com/uc?export=download&id=1OldC_vsj2bv2BC2-tpClSuVr95nu6dQA
decision,17,2022,2022,08,fr,Decision n° 2022 17,"n° 2022-17 du 1 juillet 2022 fixant les règles, les procédures et les",Decision-n°-2022-17.pdf,1dUOX9Jz9WT5eqyMQ8el_2OlepIO3aBl-,https://drive.google.com/uc?export=download&id=1dUOX9Jz9WT5eqyMQ8el_2OlepIO3aBl-
minutes,,,2022,08,mixed,محضر جلسة 1 جويلية 2022,انعقد. يوم الجمعة 1 جويلية 2022 ابتداء من الساعة الحادية عشرة صباحاء بقاعة,محضر-جلسة-1-جويلية-2022.pdf,1-OZYA92gAb7OgA-lGFKX3Y6llmJ6wPuM,https://drive.google.com/uc?export=download&id=1-OZYA92gAb7OgA-lGFKX3Y6llmJ6wPuM
minutes,,,2022,08,mixed,محضر جلسة 11 جويلية 2022,انعقد. يوم الإثنين 11 جويلية 2022 ابتداء من الساعة العاشرة والربع صباحاء بقاعة,محضر-جلسة-11-جويلية-2022.pdf,1jRYnCC3tnmA9z523ds3ElVnH5BEyMIRG,https://drive.google.com/uc?export=download&id=1jRYnCC3tnmA9z523ds3ElVnH5BEyMIRG
minutes,,,2022,08,mixed,محضر جلسة 22 جويلية 2022,الساعة الثانية ظهراء بقصر المؤتمرات بالعاصمة الكائن بشارع محمد الخامسء مقرّ المركز الإعلامي,محضر-جلسة-22-جويلية-2022.pdf,1qoJDWGVS3OE3WoO8Ov-942VZ-t2oe22A,https://drive.google.com/uc?export=download&id=1qoJDWGVS3OE3WoO8Ov-942VZ-t2oe22A
minutes,,,2022,08,mixed,محضر جلسة 26 جويلية 2022,الساعة السابعة والنصف مساءء بقصر المؤتمرات بالعاصمة الكائن بشارع محمد الخامسء مقرّ,محضر-جلسة-26-جويلية-2022.pdf,1L05lMOhz4ft2h_f1wiyJqxkhZ1sjV6Hq,https://drive.google.com/uc?export=download&id=1L05lMOhz4ft2h_f1wiyJqxkhZ1sjV6Hq
minutes,,,2022,08,mixed,محضر جلسة 27 جوان 2022,الساعة العاشرة صباحاء بقاعة الاجتماعات ‎Sal‏ المركزي للهيئة الكائن بالبحيرة 2 وتواصل كامل,محضر-جلسة-27-جوان-2022.pdf,1pKqz47qEJP8RCykpf6J4g7JxrcbuFacG,https://drive.google.com/uc?export=download&id=1pKqz47qEJP8RCykpf6J4g7JxrcbuFacG
decision,18,2022,2022,10,fr,Decision n° 2022 18,n° 2022-18 du 1 juillet 2022 fixant les conditions et les procédures,Decision-n°-2022-18.pdf,1ESIC8px8mCG7P4l5Re83YvWwLW2Ipy0I,https://drive.google.com/uc?export=download&id=1ESIC8px8mCG7P4l5Re83YvWwLW2Ipy0I
decision,19,2022,2022,10,fr,Decision n° 2022 19,n° 2022-19 du 11 juillet 2022 portant création des sections à l’intérieur du,Decision-n°-2022-19.pdf,1a6epePObFj5kDICzNgLCGSl5OW9wlFn6,https://drive.google.com/uc?export=download&id=1a6epePObFj5kDICzNgLCGSl5OW9wlFn6
list,,,2022,10,mixed,التشريعية 2022 قائمة مكاتب التحيين القارة حسب كل إدارة فرعية,الانتخابات التشريعية 2022,التشريعية-2022__-قائمة-مكاتب-التحيين-القارة-حسب-كل-إدارة-فرعية.pdf,1LnaZakkUgXuT8FFFXCJkQAJI-8OT1sqi,https://drive.google.com/uc?export=download&id=1LnaZakkUgXuT8FFFXCJkQAJI-8OT1sqi
guide,,,2022,10,mixed,دليل الترشحات الخاص بالانتخابات التشريعية 2022,بالانتخايات التشريعيّة لسنة 2022,دليل-الترشحات-الخاص-بالانتخابات-التشريعيّة-2022.pdf,1JvyP2UhFscqkgbp-w0YvDD3MVAfsuE9R,https://drive.google.com/uc?export=download&id=1JvyP2UhFscqkgbp-w0YvDD3MVAfsuE9R
calendar,,,2022,10,mixed,روزنامة الانتخابات التشريعية 2022,الانتخابات التشربيعية لسنة 2022.,روزنامة-الانتخابات-التشريعية-2022.pdf,1XvPPSXzuGEXVVyOHOshCMhwwfR1KyYb-,https://drive.google.com/uc?export=download&id=1XvPPSXzuGEXVVyOHOshCMhwwfR1KyYb-
decision,23,2022,2022,10,mixed,قرار الهيئة عدد 23 لسنة 2022,الانتخابات التشربيعية لسنة 2022.,قرار-الهيئة-عدد-23-لسنة-2022.pdf,1RtGH66Qn_7w2YhsBhHOBarOSdG91mxLH,https://drive.google.com/uc?export=download&id=1RtGH66Qn_7w2YhsBhHOBarOSdG91mxLH
decision,25,2022,2022,10,mixed,قرار الهيئة عدد 25 لسنة 2022,بعد اطّلاعه على الدستور وخاصّة أحكام الفصول 39 و51 و59 و134 ‎sde‏,قرار-الهيئة-عدد-25-لسنة-2022.pdf,1V8W4zk2OQqLCVSlTXism1JvLFK_HXdyZ,https://drive.google.com/uc?export=download&id=1V8W4zk2OQqLCVSlTXism1JvLFK_HXdyZ
minutes,,,2022,10,mixed,محضر جلسة 20 سبتمبر 2022 1,انعقد. يوم الثلاثاء 20 سبتمبر 2022 ابتداء من الساعة الثالثة بعد الزوالء بقاعة الاجتماعات,محضر-جلسة-20-سبتمبر-2022-1.pdf,1p1vTb-tTCVrpv9O13VMrir6rCobuWxZj,https://drive.google.com/uc?export=download&id=1p1vTb-tTCVrpv9O13VMrir6rCobuWxZj
minutes,,,2022,10,mixed,محضر جلسة 23 سبتمبر 2022 1,‎«Mail‏ يوم الجمعة 23 سبتمبر 2022 ابتداء من الساعة التاسعة ‎blé‏ بقاعة,محضر-جلسة-23-سبتمبر-2022-1.pdf,161YArt9DR0c78sS4qVCuygIcR8SXcBRN,https://drive.google.com/uc?export=download&id=161YArt9DR0c78sS4qVCuygIcR8SXcBRN
polling_geography,,,2022,10,mixed,مكاتب تحيين التسجيل القارة للفترة الثانية,الانتخابات التشريعية 2022,مكاتب-تحيين-التسجيل-القارة-للفترة-الثانية.pdf,1Ds9OpqVQWPRYaQR3Fs_p3zcx0U4mo7pX,https://drive.google.com/uc?export=download&id=1Ds9OpqVQWPRYaQR3Fs_p3zcx0U4mo7pX
decision,28,2022,2022,11,fr,Decision n° 2022 28,2022 et fixant leur composition et leur compétence territoriale.,Decision-n°-2022-28.pdf,1jsDoqsiCQrf4cRS0Xy1PSvhkKvZB6tLu,https://drive.google.com/uc?export=download&id=1jsDoqsiCQrf4cRS0Xy1PSvhkKvZB6tLu
decision,,,2022,11,fr,Decision portant delegation de signature,2022 portant délégation de signature.,Decision-portant-delegation-de-signature.pdf,1V4BP9VogcVmOMy-yIBsliNiwTSj6HYpa,https://drive.google.com/uc?export=download&id=1V4BP9VogcVmOMy-yIBsliNiwTSj6HYpa
decision,30,2022,2022,11,mixed,القرار عدد 30 لسنة 2022,0لسنة 2014 مؤرخ في 08 اوت 2014 يتعلق بضبط قواعد تمويل الحملة الانتخابية واجراءاته وطرقه.,القرار-عدد-30-لسنة-2022.pdf,1mw5Cwi6gwMt1YwnzeXr6ptPPvigMzTOu,https://drive.google.com/uc?export=download&id=1mw5Cwi6gwMt1YwnzeXr6ptPPvigMzTOu
campaign_finance,,,2022,11,mixed,جدول السقف الجملي للانفاق على حملة الانتخابات التشريعية 2022,جدول السقف الجملي للإنفاق على,جدول-السقف-الجملي-للانفاق-على-حملة-الانتخابات-التشريعية-2022.pdf,1xSAoxqlIaiHKnHiVJ5hfrf3W7lwfqGRB,https://drive.google.com/uc?export=download&id=1xSAoxqlIaiHKnHiVJ5hfrf3W7lwfqGRB
guide,,,2022,11,mixed,دليل المترشح للانتخابات التشريعية 17 ديسمبر 2022,,دليل-المترشح-للانتخابات-التشريعية-17-ديسمبر-2022.pdf,1ShAJSIwQsYoV4HfnuUWOg_4W8Q_3gM4v,https://drive.google.com/uc?export=download&id=1ShAJSIwQsYoV4HfnuUWOg_4W8Q_3gM4v
