tribe,surname_ar,surname_alt_ar,latin,confidence,drawn,derivation,note
Ouled bou Ghanem,بوغانمي,,Boughanmi,high,1,nisba of the eponym,
Ouled Sdira,سديري,,Sdiri,high,1,nisba of the eponym,"The two Gallica sheets put the name 211 km apart; the merged ellipse is a splinter joining them."
Ouled Khiar,خياري,,Khiari,medium,1,nisba of the eponym,"Two groups share the name: Pellissier's below Zaghouan and Lasailly's in the Constantine province. The ellipse joins them."
Charen,شارني,,Charni,medium,1,nisba of the name,"Printed without a marker on both sheets; may be a place name."
Djendouba,جندوبي,,Jendoubi,medium,1,nisba of the tribe name,"Printed as a tribe on the 1881 sheet before the name settled onto the town, so the surname may also be a toponymic nisba."
Zouagha,زواغي,,Zouaghi,high,1,nisba of the tribe name,
Beni Mtir,مطيري,,Mtiri,low,0,nisba of the eponym,"Read as Beni Mazer on the 1881 sheet, reading uncertain. 70% of the surname's holders are registered in Kairouan and none in the Kroumirie; listed, not drawn."
Ghezoran,غزواني,,Ghezouani,high,1,nisba of the tribe name,"Grezouani on the 1853 sheet is already the nisba form."
Meressen,مرسني,مرساني,Mersni,medium,1,nisba of the tribe name,"Two spellings of the nisba, pooled."
Ouled Soltan,سلطاني,,Soltani,medium,1,nisba of the eponym,"Soltan is also a given name; the surname's home in Jendouba supports the tribal reading."
Ouled bou Salem,بوسالمي,,Boussalmi,high,1,nisba of the eponym,
Aguerba,عقربي,,Agrebi,high,1,nisba of the tribe name,
Hamarna,حمروني,,Hamrouni,medium,1,nisba of the tribe name,"Hamarna is the plural of Hamrouni."
Matmata,مطماطي,,Matmati,high,1,nisba of the tribe name,
Hanencha,حناشي,,Hanachi,medium,1,singular of the tribe name,"A frontier tribe printed on the Constantine side; Hanachi is its singular."
Beni Zid,زيدي,,Zidi,medium,1,nisba of the eponym,"Zid is also a given name; the surname's home in Gabès supports the tribal reading."
Nefzaoua,نفزاوي,,Nefzaoui,high,1,nisba of the region and tribe name,
Adhara,عذاري,,Adhari,low,0,nisba of the tribe name,"On Martel's sheet only, in the Nefzaoua. 84% of the surname's holders are registered in Sousse and none near the Nefzaoua, which is what a different origin looks like; listed, not drawn."
Troud,طرودي,,Troudi,medium,1,nisba of the tribe name,"Two groups share the name: Martel's Troud in the Djerid, Ganiage's in the lower Medjerda. Only Martel's is placed; the surname's home in Bizerte fits Ganiage's."
Ouled Redouan,رضواني,,Redouani,medium,1,nisba of the eponym,"A Hammama fraction on the 1853 sheet."
Merdès,مرداسي,,Merdassi,medium,1,nisba of the tribe name,"A frontier tribe printed west of the border."
Beni Mezzeline,مزليني,,Mezlini,medium,1,nisba of the tribe name,"A frontier tribe printed west of the border."
Ouled Sidi Abid,عبيدي,,Abidi,medium,1,nisba of the eponym,"The commonest family name in Tunisia, and its home is Jendouba, across the frontier from where the 1881 sheet prints the tribe. Abidi can also derive from the given name Abid."
Ouled Saïd,سعيدي,,Saidi,low,0,nisba of the eponym,"Saidi derives from the given name Said far more often than from the tribe."
Ouled Yakoub,يعقوبي,,Yaacoubi,low,0,nisba of the eponym,"Generic patronymic nisba, and two groups share the tribe name."
Beni Yacoub,يعقوبي,,Yaacoubi,low,0,nisba of the eponym,"Generic patronymic nisba."
Oled Yacoub,يعقوبي,,Yaacoubi,low,0,nisba of the eponym,"Generic patronymic nisba."
Oulad Khalifa,خليفي,,Khelifi,low,0,nisba of the eponym,"Generic patronymic nisba; a Zlass fraction, covered by Jlassi."
Oulad Amer,عامري,,Ameri,low,0,nisba of the eponym,"Generic patronymic nisba; the label may be a village."
Merazig,مرزوقي,,Marzouki,low,0,singular of the tribe name,"Marzouki derives from the given name Marzouk far more often than from the Merazig of Douz."
Gherib,غريبي,,Ghribi,low,0,nisba of the tribe name,"Ghribi means stranger and is borne across the country."
Beni Salah,صالحي,,Salhi,low,0,nisba of the eponym,"Generic patronymic nisba."
Ouled Daoud,داودي,,Daoudi,low,0,nisba of the eponym,"Generic patronymic nisba."
Ouled Dhiab,ذيابي,,Dhiabi,low,0,nisba of the eponym,"597 voters; the bare form ذياب is a given name."
Chehida,شهيدي,,Chhidi,low,0,nisba of the tribe name,"1,576 voters whose home is Médenine, not the Kroumirie."
Mekena,مكني,,Mekni,low,0,nisba of the tribe name,"Mekni is a Sahel name (Monastir) and the tribe is in the Kroumirie."
Makna,مكني,,Mekni,low,0,nisba of the tribe name,"See Mekena."
Cheefia,شافعي,,Chafai,low,0,nisba of the tribe name,"The surname is the nisba of the Shafi'i school."
Ouled Sidi Yahia ben Taleb,يحياوي,,Yahyaoui,low,0,nisba of the eponym,"Generic patronymic nisba."
Hazem,حازمي,,Hazmi,low,0,nisba of the tribe name,"608 voters; below the floor."
Doufan,دوفاني,,Doufani,low,0,nisba of the tribe name,"376 voters; below the floor."
Sellaouas,سلاوي,,Sellaoui,low,0,singular of the tribe name,"888 voters; below the floor."
Ouillen,ولاني,,Ouilani,low,0,nisba of the tribe name,"724 voters, reading uncertain."
Nbails,نبيلي,,Nbili,low,0,nisba of the tribe name,"513 voters; below the floor."
Ouled Ali,علوي,,Alaoui,low,0,nisba of the eponym,"Generic."
Hammama — Oulad Aziz,عزيزي,,Azizi,low,0,nisba of the eponym,"A Hammama fraction; generic nisba; the parent is drawn."
Ouled el Goussem,,,,none,0,,"No nisba of this name in the register."
Taïfa,,,,none,0,,"No nisba of this name in the register."
Mogod,,,,none,0,,"No nisba of this name in the register."
Hezil,,,,none,0,,"No nisba of this name in the register."
Djeladjela,,,,none,0,,"No nisba of this name in the register."
Nemencha,,,,none,0,,"No nisba of this name in the register."
Allaounas,,,,none,0,,"No nisba of this name in the register."
Brarchas,,,,none,0,,"No nisba of this name in the register."
Beni Ahmar,,,,none,0,,"No nisba of this name in the register."
Beni Ourghine,,,,none,0,,"No nisba of this name in the register."
Braktia,,,,none,0,,"No nisba of this name in the register."
Sbetsa,,,,none,0,,"No nisba of this name in the register."
Mahatla,,,,none,0,,"No nisba of this name in the register."
Sefia,,,,none,0,,"No nisba of this name in the register."
Dra Menna,,,,none,0,,"No nisba of this name in the register."
Chiebna,,,,none,0,,"No nisba of this name in the register."
Ouled Dean,,,,none,0,,"No nisba of this name in the register."
Ouled Ahmar ben Ali,,,,none,0,,"No nisba of this name in the register."
Chaamba,,,,none,0,,"Algerian Sahara; not Tunisian."
