tribe,surname,surname_alt,latin,confidence,derivation,sheets,printed_as,ground_lon,ground_lat,ground_area_sqkm,ground_share_in_tunisia_pct,ground_flagged,voters_mapped,imadas_present,inside_pct,near_pct,beyond_pct,electorate_inside,one_in,prominent_imadas_inside,prominent_imadas_outside,centroid_lon,centroid_lat,displacement_km,direction,median_km_from_ground,top_destination,top_destination_pct,dot_value,dots_drawn,figure,note
Ouled Soltan,سلطاني,,Soltani,medium,nisba of the eponym,1881 Lasailly,O. Soltan,8.627,36.644,88,100.0,1,15044,859,0.9,28.3,70.8,8979,65,0,10,9.454,36.3411,82.9,SE,130.0,Tunis,13.9,10,1483,maps/tribes/soltani_mobility.pdf,Soltan is also a given name; the surname's home in Jendouba supports the tribal reading.
Mehadhba,مهذبي,,Mhedhbi,high,nisba of the tribe name,1853 Pellissier | 1881 Lasailly | 1881 Martel (1965),MEHADBA | Mahadeba | Mahedeba,9.877,34.325,1061,98.7,0,14090,808,0.7,0.7,98.6,23923,239,0,12,10.3023,36.1283,203.2,N,216.4,Nabeul,30.4,10,1396,maps/tribes/mhedhbi_mobility.pdf,
Neffat,نفاتي,,Neffati,high,nisba of the tribe name,1881 Lasailly | 1881 Martel (1965),NEFFAT | Nefat,9.889,34.564,1489,100.0,0,13478,940,1.1,2.8,96.1,41976,294,0,6,10.0871,36.1982,181.6,N,202.8,Tunis,15.8,10,1334,maps/tribes/neffati_mobility.pdf,
Hanencha,حناشي,,Hanachi,medium,singular of the tribe name,1853 Pellissier | 1881 Lasailly,Hanecha | Hanenchas,7.987,36.138,2125,9.0,0,13002,993,0.0,1.8,98.2,9550,3183,0,8,9.6813,36.1887,155.5,E,166.4,Tunis,16.3,10,1266,maps/tribes/hanachi_mobility.pdf,A frontier tribe printed on the Constantine side; Hanachi is its singular.
Ouled bou Ghanem,بوغانمي,,Boughanmi,high,nisba of the eponym,1853 Pellissier | 1881 Lasailly,O. bou Ghanem | Oulad bou Ghanem,8.315,35.88,521,65.0,1,12325,790,7.1,12.2,80.7,9988,11,6,5,9.6798,36.5097,143.3,NE,174.8,Tunis,21.3,10,1201,maps/tribes/boughanmi_mobility.pdf,
Ghezoran,غزواني,,Ghezouani,high,nisba of the tribe name,1853 Pellissier | 1881 Lasailly,Ghezoran | Grezouani,8.755,36.668,296,100.0,0,11808,679,10.6,40.4,49.0,28061,23,3,6,9.3954,36.5936,59.3,E,18.8,Tunis,13.7,5,2319,maps/tribes/ghezouani_mobility.pdf,Grezouani on the 1853 sheet is already the nisba form.
Ouargha,ورغي,,Ourghi,high,nisba of the tribe name,1881 Lasailly,Ouargha,8.456,36.213,356,95.8,0,11361,694,1.5,31.4,67.1,11360,65,0,8,9.4557,36.5693,99.8,NE,148.6,Tunis,18.5,5,2235,maps/tribes/ourghi_mobility.pdf,
Ouartan,ورتاني,,Ouertani,high,nisba of the tribe name,1853 Pellissier | 1881 Lasailly,Ouartan,8.757,35.904,626,100.0,1,9335,733,1.5,3.6,94.9,16701,116,0,3,9.9441,36.6289,135.2,NE,152.6,Tunis,29.7,5,1813,maps/tribes/ouertani_mobility.pdf,
Aguerba,عقربي,,Agrebi,high,nisba of the tribe name,1853 Pellissier,Agherba,10.402,34.696,727,100.0,0,9146,707,2.3,15.2,82.5,31446,149,0,5,10.4033,35.7956,121.6,N,182.3,Tunis,15.8,5,1785,maps/tribes/agrebi_mobility.pdf,
Beni Zid,زيدي,,Zidi,medium,nisba of the eponym,1853 Pellissier | 1881 Martel (1965),BENI ZID | Beni Zid,9.812,33.796,3911,97.2,0,7689,722,11.9,6.9,81.2,244435,267,0,9,9.6794,35.5131,190.3,N,187.6,Gafsa,13.1,5,1472,maps/tribes/zidi_mobility.pdf,Zid is also a given name; the surname's home in Gabès supports the tribal reading.
Khememsa,خماسي,,Khemassi,medium,singular of the tribe name,1881 Lasailly,Khememsa et Doufan,8.785,35.883,245,100.0,0,7203,620,5.9,22.9,71.2,16049,38,1,4,9.6414,36.4432,100.1,NE,150.3,Tunis,21.9,5,1387,maps/tribes/khemassi_mobility.pdf,Khememsa is a plural; the singular nisba is Khemassi. The surname's home in Le Kef supports the reading.
Zeghalma,زغلامي,,Zghalmi,high,nisba of the tribe name,1853 Pellissier | 1881 Lasailly,Zeghalma | Zeralma,8.547,35.771,751,100.0,0,6596,661,10.0,4.6,85.4,28463,43,1,2,9.6275,36.4753,126.1,NE,164.7,Tunis,19.1,5,1280,maps/tribes/zghalmi_mobility.pdf,
Ouled Khiar,خياري,,Khiari,medium,nisba of the eponym,1853 Pellissier | 1881 Lasailly,Oulad Khiar | Ouled Khiar,8.643,36.189,2782,63.5,1,6133,653,3.4,37.3,59.3,112106,536,0,2,10.1078,36.4444,137.3,E,28.2,Nabeul,15.4,5,1185,maps/tribes/khiari_mobility.pdf,Two groups share the name: Pellissier's below Zaghouan and Lasailly's in the Constantine province. The ellipse joins them.
Ouled Sdira,سديري,,Sdiri,high,nisba of the eponym,1853 Pellissier | 1881 Lasailly,O. Sdira | Oulad Sedira | Ouled Sedjera,8.058,36.201,7030,23.0,1,6129,613,41.3,5.5,53.2,163520,65,5,2,9.3847,36.1582,121.8,E,79.4,Tunis,12.6,5,1183,maps/tribes/sdiri_mobility.pdf,The two Gallica sheets put the name 211 km apart; the merged ellipse is a splinter joining them.
Ouerghemma,ورغمي,,Werghemmi,high,nisba of the confederation name,1853 Pellissier | 1881 Lasailly | 1881 Martel (1965),OUERGHAMMA | Ouergama | Ouerguemma,10.517,33.294,2447,100.0,1,6078,733,4.1,7.6,88.3,114516,462,0,0,10.3738,35.6791,264.1,N,274.9,Sfax,17.1,5,1166,maps/tribes/werghemmi_mobility.pdf,A confederation printed as one label. The only name south of Sfax on the 1881 sheet.
Ouchtata,وشتاتي,,Ouechtati,high,nisba of the tribe name,1853 Pellissier | 1881 Lasailly | 1881 Martel (1965),OUCHTATA | Ouchtata | Ouchtata Khezara,8.466,36.563,414,98.4,0,5777,510,3.8,28.5,67.7,34565,159,0,3,9.2832,36.6497,75.6,E,53.7,Béja,28.8,5,1124,maps/tribes/ouechtati_mobility.pdf,
Troud,طرودي,,Troudi,medium,nisba of the tribe name,1881 Martel (1965),TROUD,7.39,33.644,5244,19.2,0,5613,599,0.0,1.0,98.9,4994,2497,0,2,10.0977,36.6325,413.4,NE,391.9,Bizerte,23.3,5,1075,maps/tribes/troudi_mobility.pdf,"Two groups share the name: Martel's Troud in the Djerid, Ganiage's in the lower Medjerda. Only Martel's is placed; the surname's home in Bizerte fits Ganiage's."
Zouagha,زواغي,,Zouaghi,high,nisba of the tribe name,1853 Pellissier | 1881 Lasailly,Zouagha | Zouaka,9.046,36.648,264,100.0,1,4588,586,11.2,14.4,74.4,28520,55,2,1,9.8263,36.4382,75.3,E,90.2,Tunis,18.2,2,2473,maps/tribes/zouaghi_mobility.pdf,
Ouled bou Salem,بوسالمي,,Boussalmi,high,nisba of the eponym,1853 Pellissier | 1881 Lasailly,O. bou Salem | Oulad bou Salem,9.013,36.613,288,100.0,1,4358,582,11.5,19.4,69.1,29686,59,0,0,9.7243,36.6736,65.6,E,89.2,Tunis,22.7,2,2354,maps/tribes/boussalmi_mobility.pdf,
Meressen,مرسني,مرساني,Mersni,medium,nisba of the tribe name,1853 Pellissier | 1881 Lasailly,Merassen | Meressen,8.532,36.664,123,86.2,1,4152,410,0.0,37.7,62.3,10247,5124,0,3,9.3533,36.7367,75.8,E,80.2,Bizerte,31.3,2,2208,maps/tribes/mersni_mobility.pdf,"Two spellings of the nisba, pooled."
Beni Mezzeline,مزليني,,Mezlini,medium,nisba of the tribe name,1881 Lasailly,Beni Mezzeline,7.478,36.585,529,0.0,0,3294,348,0.0,0.0,100.0,0,,0,2,9.8159,36.9305,217.9,E,204.6,Bizerte,50.1,2,1760,maps/tribes/mezlini_mobility.pdf,A frontier tribe printed west of the border.
Merdès,مرداسي,,Merdassi,medium,nisba of the tribe name,1881 Lasailly,Merdès,7.805,36.696,897,0.0,0,2937,495,0.0,0.0,100.0,0,,0,2,9.9282,36.4468,196.7,E,181.6,Bizerte,14.0,2,1623,maps/tribes/merdassi_mobility.pdf,A frontier tribe printed west of the border.
Hakim,حكيمي,,Hkimi,medium,nisba of the tribe name,1853 Pellissier | 1881 Lasailly,Hakim,8.502,36.395,625,77.6,0,2785,422,18.3,21.2,60.5,44909,88,1,0,9.5713,36.6435,101.9,E,128.5,Tunis,24.3,2,1524,maps/tribes/hkimi_mobility.pdf,Hakim is also a given name; the surname's home in Jendouba supports the tribal reading.
Ouled Redouan,رضواني,,Redouani,medium,nisba of the eponym,1853 Pellissier,Redouan,10.102,35.032,1392,100.0,0,1927,371,0.0,0.2,99.8,47303,,0,2,9.2627,35.0413,77.0,W,153.5,Gafsa,25.1,1,1927,maps/tribes/redouani_mobility.pdf,A Hammama fraction on the 1853 sheet.
Nefzaoua,نفزاوي,,Nefzaoui,high,nisba of the region and tribe name,1853 Pellissier,Nefzaoua,9.174,33.787,3228,100.0,0,1378,333,2.4,1.5,96.2,58997,1788,0,2,10.1407,35.5047,209.6,NE,209.9,Mahdia,39.5,1,1378,maps/tribes/nefzaoui_mobility.pdf,
Matmata,مطماطي,,Matmati,high,nisba of the tribe name,1853 Pellissier,Matmatta,9.735,33.456,3060,100.0,0,1252,326,1.1,5.4,93.5,16200,1157,0,0,10.1773,36.4468,333.2,N,339.5,Tunis,33.1,1,1252,maps/tribes/matmati_mobility.pdf,
